"Category","Issue","Severity","AffectedObject","Description","Impact","Remediation","DetectedDate","MitreTechnique","AnssiControl","Weight","SeverityLevel","Details","EstimatedEffort","KnownRisks","BackupRollback","OperationalNotes","TestName"
"Attack Paths","Everyone/Authenticated Users on a Control Path to Tier-0","Critical","synthetic-object-41.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Everyone/Authenticated Users on a Control Path to Tier-0', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Everyone/Authenticated Users on a Control Path to Tier-0'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Everyone/Authenticated Users on a Control Path to Tier-0'.","09/21/2026 20:17:10","T1098","vuln1_control_path_broad","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - breaking one specific hop (a group nesting or ACE) in the chain; effort scales with how many hops and objects are involved for a given path.","Removing the identified hop could break a legitimate, if poorly documented, delegation model if the chain was set up intentionally rather than accidentally, so confirm with the object owner before removing.","Moderate - export the specific ACE or group membership being removed so it can be restored, then re-run this audit to confirm the path no longer resolves.","",""
"Certificate Services","Enrollment Agent Template with Low-Privilege Enrollment (ESC3)","Critical","synthetic-object-42.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc3","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - restricting who can enroll for the enrollment-agent template requires confirming which automated on-behalf-of enrollment process currently uses it.","Restricting enrollment agent template access can break an automated on-behalf-of enrollment process that currently relies on the broader access.","Easy - restore the enrollment permission on the template if needed; effective immediately.","",""
"Stale-Object & Hygiene Depth","Domain Controller Registration Inconsistent","Critical","synthetic-object-43.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Domain Controller Registration Inconsistent', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Domain Controller Registration Inconsistent'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Domain Controller Registration Inconsistent'.","09/21/2026 20:17:10","T1207","vuln1_dc_registration_inconsistent","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - typically a single-object correction per affected DC, but requires confirming the DC's intended current state (active, mid-promotion, or decommissioned) before deciding whether to correct or clean up metadata.","Correcting userAccountControl or Configuration-partition registration on a DC that is still mid-promotion/demotion, rather than genuinely stuck, could interfere with that in-progress operation - confirm the DC's actual current state first.","Moderate - record the current attribute values before correcting them; effective on next AD replication cycle.","",""
"Uncategorized (Synthetic)","DC Vulnerable to MS17-010","Critical","synthetic-object-44.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Vulnerable to MS17-010', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Vulnerable to MS17-010'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Vulnerable to MS17-010'.","09/21/2026 20:17:10","T1210","vuln1_ms17010_unpatched","40","4","{""Tier"":""100pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Vulnerable to MS14-068","Critical","synthetic-object-45.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Vulnerable to MS14-068', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Vulnerable to MS14-068'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Vulnerable to MS14-068'.","09/21/2026 20:17:10","T1558.001","vuln1_ms14068_unpatched","40","4","{""Tier"":""100pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing ZeroLogon Patch","Critical","synthetic-object-46.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing ZeroLogon Patch', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing ZeroLogon Patch'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing ZeroLogon Patch'.","09/21/2026 20:17:10","T1068","vuln1_zerologon_unpatched","40","4","{""Tier"":""100pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing CVE-2026-72982 Patch (Netlogon RCE)","Critical","synthetic-object-47.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)'.","09/21/2026 20:17:10","T1210","vuln1_netlogon_cve2026_72982_unpatched","40","4","{""Tier"":""100pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing CVE-2026-41089 Patch (Netlogon RCE)","Critical","synthetic-object-48.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)'.","09/21/2026 20:17:10","T1210","vuln1_netlogon_cve2026_41089_unpatched","40","4","{""Tier"":""100pct"",""Synthetic"":true}","","","","",""
"Dangerous Permissions","Dangerous Rights on Critical OU","Critical","synthetic-object-49.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Dangerous Rights on Critical OU', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Dangerous Rights on Critical OU'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Dangerous Rights on Critical OU'.","09/21/2026 20:17:10","T1098","vuln1_dangerous_ou_rights","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - a single-object ACE removal, but on a forest-wide replicated object, so it warrants confirming with the relevant application owner (e.g. Exchange, ADFS, or backup/DR tooling that sometimes provisions Configuration-NC rights during setup) before removing, plus a short post-change monitoring window.","Removing the ACE could break a directory-integrated product that legitimately extends the Configuration container (commonly Exchange setup/recipient-update accounts, or certain backup/DR tools) if the trustee is a genuine service account rather than a misconfiguration.","Moderate - export the object's current nTSecurityDescriptor (e.g. via dsacls or Get-Acl on the AD: PowerShell drive) before making the change so the exact ACE can be re-added if needed, and allow for AD replication convergence across all DCs before the removal is fully in effect forest-wide.","Since this ACE sits above the Public Key Services container this tool's own AD CS checks already review separately, cross-check the trustee against any known certificate-services or Exchange install accounts before removing it, to avoid duplicating remediation effort on the wrong object.",""
"Kerberos Security","Cross-Trust TGT Delegation Enabled","Critical","synthetic-object-50.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Cross-Trust TGT Delegation Enabled', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Cross-Trust TGT Delegation Enabled'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Cross-Trust TGT Delegation Enabled'.","09/21/2026 20:17:10","T1558","vuln1_cross_trust_tgt_delegation","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - disabling this trust attribute requires confirming no legitimate application performs Kerberos delegation across that trust boundary (e.g. a multi-forest SharePoint/SQL double-hop scenario).","Disabling cross-trust TGT delegation can break any application that legitimately performs Kerberos delegation across that trust boundary.","Moderate - trust attributes can be reconfigured back via netdom/PowerShell, but requires coordination with the other domain/forest's admins to re-verify, like any other trust property change.","",""
"Kerberos Delegation","Computer Account with Unconstrained Delegation","Critical","synthetic-object-51.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Computer Account with Unconstrained Delegation', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Computer Account with Unconstrained Delegation'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Computer Account with Unconstrained Delegation'.","09/21/2026 20:17:10","T1558","vuln1_unconstrained_delegation_computer","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires discovering what the host actually delegates to and reconfiguring it with an equivalent constrained/RBCD replacement before disabling the flag, not just flipping it off.","Unconstrained delegation is one of the most consequential AD misconfigurations; disabling it without configuring an equivalent constrained/RBCD replacement first will break whatever legitimate multi-hop authentication currently depends on it.","Easy - revert the TRUSTED_FOR_DELEGATION flag; effective at next Kerberos ticket request, no data loss.","",""
"Certificate Services","Certificate Template with No EKU Restrictions (ESC2)","Critical","synthetic-object-52.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template with No EKU Restrictions (ESC2)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template with No EKU Restrictions (ESC2)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template with No EKU Restrictions (ESC2)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc2","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires validating which application relies on the current broad EKU set (e.g. a cert used for both client authentication and code signing) before narrowing it.","Restricting EKUs can break legitimate uses that rely on the current broad EKU set.","Moderate - restore the template's prior EKU configuration (via a template export/backup, e.g. PSPKI or certutil) if a legitimate use breaks; certificates already issued remain valid until revoked or expired.","",""
"Certificate Services","Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)","Critical","synthetic-object-53.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc15","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - duplicating a template as Schema V2+ and re-pointing enrollment is a routine AD CS operation, but requires confirming which systems currently enroll against the V1 original before retiring it.","Retiring a Schema V1 template can break legacy clients or workflows (e.g. very old Windows Server versions, or agents predating Schema V2 support) that specifically enroll against a V1 template - confirm no legitimate dependency before retiring rather than duplicating.","Easy - the original Schema V1 template is unaffected by publishing a new V2+ duplicate alongside it; only retiring/unpublishing the V1 original needs to be reversible (re-publish it) if an unexpected dependency surfaces.","",""
"Certificate Services","Certificate Template Issuance Policy Linked to Privileged Group (ESC13)","Critical","synthetic-object-54.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc13","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - confirm whether the OID-to-group link is an intentional AD FS claims scenario before removing it, since removing it changes real, currently-working claims-based access for legitimate users too.","Removing the group link breaks any legitimate AD FS claims-based access that currently depends on it - confirm the link is unintentional/unused before removing.","Easy - restore the msDS-OIDToGroupLink value on the OID object if needed; effective immediately.","",""
"Certificate Services","Certificate Template Allows Subject Alternative Name (ESC1)","Critical","synthetic-object-55.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Allows Subject Alternative Name (ESC1)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Allows Subject Alternative Name (ESC1)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Allows Subject Alternative Name (ESC1)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc1","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires disabling ""supply subject in request"" or restricting enrollment rights, and confirming which systems currently request from this template before changing it.","Disabling attacker-controllable SAN (CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT) can break legitimate workflows that rely on supplying a SAN at request time, such as some non-Windows or automated enrollment clients.","Moderate - AD CS templates are versioned, so a prior version's settings can be restored and republished; however, any certificates already issued during the vulnerable window remain valid until revoked or expired, so this isn't a full rollback of the exposure itself.","",""
"Certificate Services","Certificate Template Allows Arbitrary Server Certificate (ESC17)","Critical","synthetic-object-56.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc17","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - same considerations as ESC1: confirm which systems currently request server certificates from this template before narrowing SAN supply or enrollment rights.","Restricting enrollee-supplied SAN or enrollment rights can break legitimate automated server-certificate provisioning that currently relies on this template's current configuration.","Moderate - AD CS templates are versioned, so a prior version's settings can be restored and republished; certificates already issued during the vulnerable window remain valid until revoked or expired.","",""
"Certificate Services","CA-Wide Security Extension Disabled (ESC16)","Critical","synthetic-object-57.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'CA-Wide Security Extension Disabled (ESC16)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'CA-Wide Security Extension Disabled (ESC16)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'CA-Wide Security Extension Disabled (ESC16)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc16","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Low - a single registry list entry; this setting has no known legitimate ongoing use in a modern (KB5014754+) environment.","Minimal - re-enabling the extension only adds information to newly-issued certificates; it does not change any existing legitimate authentication behavior.","Easy - the change is a single registry value; re-add the OID to DisableExtensionList and restart CertSvc to restore the prior behavior if needed, with no data loss.","",""
"Certificate Services","CA-Wide SAN Attribute Flag Enabled (ESC6)","Critical","synthetic-object-58.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'CA-Wide SAN Attribute Flag Enabled (ESC6)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'CA-Wide SAN Attribute Flag Enabled (ESC6)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'CA-Wide SAN Attribute Flag Enabled (ESC6)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc6_san_flag","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - a single registry flag, but requires first identifying which templates/workflows (if any) currently rely on CA-wide SAN supply so their enrollment isn't broken.","Clearing this flag breaks enrollment for any legitimate workflow that currently depends on supplying a SAN CA-wide (rather than via an individual template's own Enrollee Supplies Subject setting) - identify and migrate those workflows to per-template configuration first.","Easy - the change is a single registry value; re-enable via certutil and restart CertSvc to restore the prior behavior immediately if something breaks, with no data loss.","",""
"Certificate Services","CA Web Enrollment over HTTP (ESC8)","Critical","synthetic-object-59.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'CA Web Enrollment over HTTP (ESC8)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'CA Web Enrollment over HTTP (ESC8)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'CA Web Enrollment over HTTP (ESC8)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc8","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires enabling HTTPS web enrollment (certificate + IIS binding) and usually coordination with whoever manages the CA's IIS instance; confirm no client submits enrollment requests over plain HTTP first.","Enforcing HTTPS-only web enrollment can break legacy clients or scripts that submit requests over plain HTTP until they're updated to the HTTPS endpoint.","Moderate - revert the IIS binding/auth settings and re-enable the HTTP endpoint if needed; requires an IIS restart but no data loss.","HTTPS alone doesn't fully close ESC8's NTLM relay risk without Extended Protection for Authentication (EPA) also enabled - consider enabling EPA on the enrollment endpoint at the same time.",""
"Certificate Services","CA RPC Enrollment Encryption Not Enforced (ESC11)","Critical","synthetic-object-60.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'CA RPC Enrollment Encryption Not Enforced (ESC11)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'CA RPC Enrollment Encryption Not Enforced (ESC11)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'CA RPC Enrollment Encryption Not Enforced (ESC11)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_esc11","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Low - a single registry flag; the on-by-default setting is occasionally disabled for legacy client compatibility (e.g. Windows XP), so confirm no such client still enrolls against this CA before enabling.","Enabling packet-privacy enforcement will break enrollment for any client that cannot negotiate RPC_C_AUTHN_LEVEL_PKT_PRIVACY - in practice, only very old (pre-Vista-era) clients, which should not be enrolling in a modern environment regardless.","Easy - the change is a single registry value; revert with certutil -setreg CA\InterfaceFlags -IF_ENFORCEENCRYPTICERTREQUEST and restart CertSvc if something breaks.","",""
"Certificate Services","CA Chase-Fallback Enabled (CVE-2026-54121 / Certighost Exposure)","Critical","synthetic-object-61.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'CA Chase-Fallback Enabled (CVE-2026-54121 / Certighost Exposure)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'CA Chase-Fallback Enabled (CVE-2026-54121 / Certighost Exposure)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'CA Chase-Fallback Enabled (CVE-2026-54121 / Certighost Exposure)'.","09/21/2026 20:17:10","T1649","vuln1_adcs_certighost_chase","40","4","{""Tier"":""100pct"",""Synthetic"":true}","High - before disabling the flag or patching, requires discovering which cross-domain/cross-forest enrollment workflows (if any) depend on the chase fallback across every CA, since Microsoft's own advisory notes the registry mitigation was validated only in a lab and should be tested per-CA before production rollout.","Clearing the flag (or the patch's added validation) can break certificate enrollment for legitimate cross-domain or cross-forest clients that rely on the CA's chase behavior to resolve a client-DC hint the CA cannot otherwise reach directly.","Easy - the change is a single registry value; if a legitimate enrollment workflow breaks, re-enable EDITF_ENABLECHASECLIENTDC via certutil and restart CertSvc to restore the prior behavior immediately, with no data loss.","Re-enabling the flag as a rollback restores the CVE-2026-54121 exposure, so treat it as strictly temporary and monitor Certificate Services event ID 4886 (a cert request carrying a client-DC hint that doesn't match a known DC) while investigating any dependency.",""
"AdminSDHolder","AdminSDHolder Inheritance Re-Enabled","Critical","synthetic-object-62.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'AdminSDHolder Inheritance Re-Enabled', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'AdminSDHolder Inheritance Re-Enabled'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'AdminSDHolder Inheritance Re-Enabled'.","09/21/2026 20:17:10","T1098","vuln1_adminsdholder_inheritance","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Low - toggling inheritance protection back on for a single object, but review the full resulting ACL afterward for anything unexpected that inheritance may have introduced.","Re-protecting from inheritance removes any inherited ACEs currently in effect on AdminSDHolder; confirm none of them were an intentional (if unusual) delegation before re-protecting, though this is not expected to be the case for this specific object.","Moderate - export the full current ACL (including inherited ACEs) before changing the protection flag, so anything unexpectedly lost can be reviewed and, if genuinely needed, re-added explicitly.","",""
"Admin Equivalence","AdminSDHolder ACL Compromise","Critical","synthetic-object-63.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'AdminSDHolder ACL Compromise', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'AdminSDHolder ACL Compromise'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'AdminSDHolder ACL Compromise'.","09/21/2026 20:17:10","T1098","vuln1_adminsdholder_compromise","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Low - removing a single unauthorized ACE from one object (AdminSDHolder); SDProp then reapplies the corrected ACL to every protected object automatically.","Low technical risk; an unauthorized ACE here grants no legitimate capability, so removing it has no realistic compatibility impact beyond confirming it isn't a very recent, still-being-configured delegation.","Moderate - export the current AdminSDHolder ACL (dsacls or Get-Acl) before removing the ACE so it can be restored if needed; the correction only reaches every protected Tier-0 object once SDProp's next propagation cycle runs, not instantly.","SDProp runs on a periodic interval (roughly hourly by default), so previously-protected objects keep the old, compromised ACL until the next cycle completes.",""
"Domain Security","Account Lockout Disabled","Critical","synthetic-object-64.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Account Lockout Disabled', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Account Lockout Disabled'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Account Lockout Disabled'.","09/21/2026 20:17:10","T1110","vuln1_lockout_disabled","40","4","{""Tier"":""100pct"",""Synthetic"":true}","Medium - a Default Domain Policy GPO change; confirm any legitimate break-glass/service accounts that must never lock out are covered by a separate Fine-Grained Password Policy first, since this change applies domain-wide.","Enabling lockout can itself become a denial-of-service vector if an attacker deliberately fails logons for a target account to lock it out - a documented trade-off, not a reason to leave lockout disabled entirely.","Easy - revert the GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Domain Security","Weak Minimum Password Length","High","synthetic-object-65.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Weak Minimum Password Length', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Weak Minimum Password Length'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Weak Minimum Password Length'.","09/21/2026 20:17:10","T1110","vuln2_weak_min_pwd_length","20","3","{""Tier"":""100pct"",""Synthetic"":true}","Medium - a Default Domain Policy GPO change affecting every future password change; needs a short monitoring window as users adjust.","Minimal technical risk; may increase helpdesk load and require re-training users with short passwords, since the new minimum only applies at each account's next password change.","Easy - revert the GPO value; effective at next Group Policy refresh, no data loss, not retroactive.","",""
"Certificate Services","Weak Explicit Certificate Mapping on Privileged Account (ESC14)","High","synthetic-object-66.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Weak Explicit Certificate Mapping on Privileged Account (ESC14)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Weak Explicit Certificate Mapping on Privileged Account (ESC14)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Weak Explicit Certificate Mapping on Privileged Account (ESC14)'.","09/21/2026 20:17:10","T1649","vuln2_adcs_esc14","20","3","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires identifying the specific certificate this mapping should be bound to and updating altSecurityIdentities accordingly, coordinated with whoever manages the account's smart card/certificate.","Replacing the mapping incorrectly (wrong SKI/key hash) will break this account's certificate-based authentication until corrected - verify the target certificate before changing.","Easy - restore the prior altSecurityIdentities value if needed; effective immediately, no data loss.","",""
"Certificate Services","Weak Certificate Binding Compensation Enabled (ESC10)","High","synthetic-object-67.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Weak Certificate Binding Compensation Enabled (ESC10)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Weak Certificate Binding Compensation Enabled (ESC10)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Weak Certificate Binding Compensation Enabled (ESC10)'.","09/21/2026 20:17:10","T1649","vuln2_adcs_esc10","20","3","{""Tier"":""100pct"",""Synthetic"":true}","Medium - requires first confirming every certificate relying on the compensation window has been re-issued with strong mapping before removing the opt-out, or authentication for those certificates will break.","Removing this value before all weak-mapped certificates it was covering have been re-issued will break authentication for whatever legitimately still depends on the compensation window - confirm coverage first.","Easy - restore the prior CertificateBackdatingCompensation value if needed; effective immediately, no data loss.","",""
