"Category","Issue","Severity","AffectedObject","Description","Impact","Remediation","DetectedDate","MitreTechnique","AnssiControl","Weight","SeverityLevel","Details","EstimatedEffort","KnownRisks","BackupRollback","OperationalNotes","TestName"
"Domain Security","Non-Default Access to Domain DPAPI Backup Key","Critical","synthetic-object-29.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Default Access to Domain DPAPI Backup Key', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Default Access to Domain DPAPI Backup Key'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Default Access to Domain DPAPI Backup Key'.","09/21/2026 20:17:13","T1552.001","vuln1_dpapi_backup_key","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Low - a targeted ACE removal on one or a small handful of domain-level objects, but confirm the principal isn't a legitimate, currently-used backup/recovery tool before removing.","No legitimate day-to-day workflow needs direct access to the domain DPAPI backup key objects themselves; removing an unexpected grant has no legitimate compatibility impact unless it turns out to be an undocumented, currently-in-use backup/recovery tool, so confirm first.","Moderate - export the current ACL before removing the specific ACE(s) so they can be restored if a legitimate dependency surfaces.","",""
"Legacy Auth & Name Poisoning","LM/NTLMv1 Authentication Permitted","Critical","synthetic-object-30.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LM/NTLMv1 Authentication Permitted', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LM/NTLMv1 Authentication Permitted'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LM/NTLMv1 Authentication Permitted'.","09/21/2026 20:17:13","T1557.001","vuln1_lm_ntlmv1_permitted","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - raising the LAN Manager authentication level domain-wide can break very old clients/devices, so audit NTLM usage first, per Microsoft's own documented audit-before-enforce guidance.","Enforcing NTLMv2-only will break authentication for legacy devices or applications that only support LM or NTLMv1 (older network appliances, some legacy SMB/CIFS-based systems).","Easy - revert the LAN Manager authentication level GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Coercion & Relay Exposure","LDAP Signing Not Enforced on Domain Controller","Critical","synthetic-object-31.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LDAP Signing Not Enforced on Domain Controller', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LDAP Signing Not Enforced on Domain Controller'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LDAP Signing Not Enforced on Domain Controller'.","09/21/2026 20:17:13","T1557.001","vuln1_ldap_signing_not_enforced","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - a domain/DC-wide GPO or registry setting; Microsoft's own LDAP-signing hardening guidance recommends an audit period before enforcing.","Enforcing LDAP signing can break unsigned-LDAP clients, applications, or network appliances, a documented compatibility concern in Microsoft's LDAP signing advisory.","Easy - revert the GPO/registry setting; effective at next policy refresh, no data loss.","Monitor Directory Service event ID 2887 (count of unsigned LDAP binds) before enforcing, per Microsoft's own documented rollout guidance.",""
"Coercion & Relay Exposure","LDAP Channel Binding Not Enforced","Critical","synthetic-object-32.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LDAP Channel Binding Not Enforced', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LDAP Channel Binding Not Enforced'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LDAP Channel Binding Not Enforced'.","09/21/2026 20:17:13","T1557.001","vuln1_ldap_channel_binding_not_enforced","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - a domain-wide registry/GPO setting on every DC; Microsoft's own guidance recommends a phased ""when supported"" rollout before enforcing, due to legacy client compatibility.","Enforcing LDAP channel binding can break LDAPS-based clients or appliances that don't support channel binding tokens, per Microsoft's own documented compatibility guidance.","Easy - revert the registry value/GPO setting; effective after next policy refresh/service restart, no data loss.","",""
"Kerberos Security","KRBTGT Password Age Exceeds Recommended Threshold","Critical","synthetic-object-33.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'KRBTGT Password Age Exceeds Recommended Threshold', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'KRBTGT Password Age Exceeds Recommended Threshold'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'KRBTGT Password Age Exceeds Recommended Threshold'.","09/21/2026 20:17:13","T1558.001","vuln1_krbtgt_age","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - a KRBTGT reset needs to be done twice, roughly a replication cycle apart, to fully invalidate old tickets - this is a documented, deliberate two-step process, not a single trivial change.","Resetting KRBTGT invalidates existing Kerberos tickets domain-wide once fully replicated; doing both resets in quick succession without allowing replication between them is the well-documented way to cause a temporary authentication disruption, so pace them one replication cycle apart.","Hard/Limited - a password reset cannot be undone to the old value, only reset again; if issues arise, the fix is to complete the second reset and let replication converge, not to revert.","",""
"Group Policy","GPP cpassword Found in SYSVOL","Critical","synthetic-object-34.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPP cpassword Found in SYSVOL', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPP cpassword Found in SYSVOL'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPP cpassword Found in SYSVOL'.","09/21/2026 20:17:13","T1552.006","vuln1_gpp_cpassword","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - the embedded account's password must be rotated everywhere it's used (it's already fully compromised) and the GPP item removed or recreated without cpassword.","The embedded password is trivially decryptable by any authenticated user, since Microsoft publicly released the AES key used for GPP cpassword encryption after MS14-025 - treat it as already fully compromised and rotate the account's password before or immediately after removing the GPP item.","Hard/Limited - like the logon-script credential finding, this isn't a reversible setting; the exposure already happened and the credential must be rotated, not restored.","",""
"Legacy Auth & Name Poisoning","GPO Permits LM Hash Storage","Critical","synthetic-object-35.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Permits LM Hash Storage', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Permits LM Hash Storage'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Permits LM Hash Storage'.","09/21/2026 20:17:13","T1557.001","vuln1_lm_hash_storage","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Low - a single GPO setting applied domain-wide; existing LM hashes clear naturally as passwords are next changed.","No legitimate modern workflow depends on LM hashes being stored; the only practical consideration is that existing LM hashes persist until each account's next password change, not immediately.","Easy - revert the GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Group Policy","GPO Linked to Domain Controllers with Weak Permissions","Critical","synthetic-object-36.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Linked to Domain Controllers with Weak Permissions', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Linked to Domain Controllers with Weak Permissions'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Linked to Domain Controllers with Weak Permissions'.","09/21/2026 20:17:13","T1484.001","vuln1_gpo_dc_weak_perms","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - removing a non-standard Edit/Write right from the GPO object itself; confirm the trustee isn't a legitimate delegated GPO-management account.","Procedural - confirm the trustee isn't a legitimate delegated GPO administrator for that specific GPO before removing their rights.","Easy - restore the GPO permission via GPMC; effective immediately, though the change still needs to replicate to all DCs.","",""
"Group Policy","GPO Grants Sensitive Logon Right to Broad Principal","Critical","synthetic-object-37.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Grants Sensitive Logon Right to Broad Principal', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Grants Sensitive Logon Right to Broad Principal'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Grants Sensitive Logon Right to Broad Principal'.","09/21/2026 20:17:13","T1078","vuln1_gpo_anonymous_logon_right","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - removing a broad principal from a User Rights Assignment in one GPO; confirm no legitimate broad-access scenario (e.g. an intentional kiosk deployment) depends on it.","Removing a broad principal from a sensitive logon right can lock out any system or service that currently relies on that broad grant, so confirm intent before narrowing.","Easy - revert the User Rights Assignment setting in the GPO; effective at next Group Policy refresh, no data loss.","",""
"Group Policy","GPO Deploys Restricted Groups Membership","Critical","synthetic-object-38.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Deploys Restricted Groups Membership', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Deploys Restricted Groups Membership'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Deploys Restricted Groups Membership'.","09/21/2026 20:17:13","T1098.007","vuln1_gpo_restricted_groups","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - editing the Restricted Groups membership list in one GPO; confirm with the owning team which members are actually still needed before removing any.","Removing a member that legitimately needs local admin/RDP/backup rights on the affected computers will revoke that access at the next Group Policy refresh - confirm current legitimate use before narrowing.","Easy - restore the prior Restricted Groups membership list in the GPO; effective at next Group Policy refresh, no data loss.","",""
"Managed Service Accounts","gMSA Password Retrievable by Broad Principal","Critical","synthetic-object-39.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'gMSA Password Retrievable by Broad Principal', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'gMSA Password Retrievable by Broad Principal'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'gMSA Password Retrievable by Broad Principal'.","09/21/2026 20:17:13","T1552.005","vuln1_gmsa_broad_retrieval","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Low - a single-attribute change on the gMSA object; confirm the actual hosting server(s) first so they remain in the narrowed list.","If the narrowed list omits a server that legitimately hosts this service, that server will fail to retrieve the password at its next rotation/lookup and the service will stop authenticating - confirm every real host before narrowing.","Easy - restore the prior PrincipalsAllowedToRetrieveManagedPassword value; takes effect immediately, no data loss.","",""
"Exchange-in-AD Privilege Escalation","Exchange Group Holds WriteDACL on Domain Object","Critical","synthetic-object-40.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Exchange Group Holds WriteDACL on Domain Object', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Exchange Group Holds WriteDACL on Domain Object'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Exchange Group Holds WriteDACL on Domain Object'.","09/21/2026 20:17:13","T1098","vuln1_exchange_domain_writedacl","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - removing this legacy right requires confirming the current Exchange version/CU no longer needs it and coordinating with the Exchange admin team.","Some Exchange functionality - particularly on older CUs that still expect this legacy permission model - can break if the right is removed while an in-place Exchange server still depends on it; confirm current CU-level guidance before removing.","Moderate - export the domain object's ACL before removing the ACE so it can be restored if Exchange functionality is affected; changes follow normal AD replication.","",""
"Attack Paths","Everyone/Authenticated Users on a Control Path to Tier-0","Critical","synthetic-object-41.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Everyone/Authenticated Users on a Control Path to Tier-0', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Everyone/Authenticated Users on a Control Path to Tier-0'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Everyone/Authenticated Users on a Control Path to Tier-0'.","09/21/2026 20:17:13","T1098","vuln1_control_path_broad","40","4","{""Tier"":""25pct"",""Synthetic"":true}","Medium - breaking one specific hop (a group nesting or ACE) in the chain; effort scales with how many hops and objects are involved for a given path.","Removing the identified hop could break a legitimate, if poorly documented, delegation model if the chain was set up intentionally rather than accidentally, so confirm with the object owner before removing.","Moderate - export the specific ACE or group membership being removed so it can be restored, then re-run this audit to confirm the path no longer resolves.","",""
