"Category","Issue","Severity","AffectedObject","Description","Impact","Remediation","DetectedDate","MitreTechnique","AnssiControl","Weight","SeverityLevel","Details","EstimatedEffort","KnownRisks","BackupRollback","OperationalNotes","TestName"
"Domain Security","Non-Default Access to Domain DPAPI Backup Key","Critical","synthetic-object-29.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Non-Default Access to Domain DPAPI Backup Key', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Non-Default Access to Domain DPAPI Backup Key'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Non-Default Access to Domain DPAPI Backup Key'.","09/21/2026 20:17:13","T1552.001","vuln1_dpapi_backup_key","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a targeted ACE removal on one or a small handful of domain-level objects, but confirm the principal isn't a legitimate, currently-used backup/recovery tool before removing.","No legitimate day-to-day workflow needs direct access to the domain DPAPI backup key objects themselves; removing an unexpected grant has no legitimate compatibility impact unless it turns out to be an undocumented, currently-in-use backup/recovery tool, so confirm first.","Moderate - export the current ACL before removing the specific ACE(s) so they can be restored if a legitimate dependency surfaces.","",""
"Legacy Auth & Name Poisoning","LM/NTLMv1 Authentication Permitted","Critical","synthetic-object-30.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LM/NTLMv1 Authentication Permitted', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LM/NTLMv1 Authentication Permitted'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LM/NTLMv1 Authentication Permitted'.","09/21/2026 20:17:13","T1557.001","vuln1_lm_ntlmv1_permitted","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - raising the LAN Manager authentication level domain-wide can break very old clients/devices, so audit NTLM usage first, per Microsoft's own documented audit-before-enforce guidance.","Enforcing NTLMv2-only will break authentication for legacy devices or applications that only support LM or NTLMv1 (older network appliances, some legacy SMB/CIFS-based systems).","Easy - revert the LAN Manager authentication level GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Coercion & Relay Exposure","LDAP Signing Not Enforced on Domain Controller","Critical","synthetic-object-31.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LDAP Signing Not Enforced on Domain Controller', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LDAP Signing Not Enforced on Domain Controller'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LDAP Signing Not Enforced on Domain Controller'.","09/21/2026 20:17:13","T1557.001","vuln1_ldap_signing_not_enforced","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a domain/DC-wide GPO or registry setting; Microsoft's own LDAP-signing hardening guidance recommends an audit period before enforcing.","Enforcing LDAP signing can break unsigned-LDAP clients, applications, or network appliances, a documented compatibility concern in Microsoft's LDAP signing advisory.","Easy - revert the GPO/registry setting; effective at next policy refresh, no data loss.","Monitor Directory Service event ID 2887 (count of unsigned LDAP binds) before enforcing, per Microsoft's own documented rollout guidance.",""
"Coercion & Relay Exposure","LDAP Channel Binding Not Enforced","Critical","synthetic-object-32.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'LDAP Channel Binding Not Enforced', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'LDAP Channel Binding Not Enforced'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'LDAP Channel Binding Not Enforced'.","09/21/2026 20:17:13","T1557.001","vuln1_ldap_channel_binding_not_enforced","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a domain-wide registry/GPO setting on every DC; Microsoft's own guidance recommends a phased ""when supported"" rollout before enforcing, due to legacy client compatibility.","Enforcing LDAP channel binding can break LDAPS-based clients or appliances that don't support channel binding tokens, per Microsoft's own documented compatibility guidance.","Easy - revert the registry value/GPO setting; effective after next policy refresh/service restart, no data loss.","",""
"Kerberos Security","KRBTGT Password Age Exceeds Recommended Threshold","Critical","synthetic-object-33.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'KRBTGT Password Age Exceeds Recommended Threshold', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'KRBTGT Password Age Exceeds Recommended Threshold'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'KRBTGT Password Age Exceeds Recommended Threshold'.","09/21/2026 20:17:13","T1558.001","vuln1_krbtgt_age","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a KRBTGT reset needs to be done twice, roughly a replication cycle apart, to fully invalidate old tickets - this is a documented, deliberate two-step process, not a single trivial change.","Resetting KRBTGT invalidates existing Kerberos tickets domain-wide once fully replicated; doing both resets in quick succession without allowing replication between them is the well-documented way to cause a temporary authentication disruption, so pace them one replication cycle apart.","Hard/Limited - a password reset cannot be undone to the old value, only reset again; if issues arise, the fix is to complete the second reset and let replication converge, not to revert.","",""
"Group Policy","GPP cpassword Found in SYSVOL","Critical","synthetic-object-34.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPP cpassword Found in SYSVOL', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPP cpassword Found in SYSVOL'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPP cpassword Found in SYSVOL'.","09/21/2026 20:17:13","T1552.006","vuln1_gpp_cpassword","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - the embedded account's password must be rotated everywhere it's used (it's already fully compromised) and the GPP item removed or recreated without cpassword.","The embedded password is trivially decryptable by any authenticated user, since Microsoft publicly released the AES key used for GPP cpassword encryption after MS14-025 - treat it as already fully compromised and rotate the account's password before or immediately after removing the GPP item.","Hard/Limited - like the logon-script credential finding, this isn't a reversible setting; the exposure already happened and the credential must be rotated, not restored.","",""
"Legacy Auth & Name Poisoning","GPO Permits LM Hash Storage","Critical","synthetic-object-35.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Permits LM Hash Storage', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Permits LM Hash Storage'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Permits LM Hash Storage'.","09/21/2026 20:17:13","T1557.001","vuln1_lm_hash_storage","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a single GPO setting applied domain-wide; existing LM hashes clear naturally as passwords are next changed.","No legitimate modern workflow depends on LM hashes being stored; the only practical consideration is that existing LM hashes persist until each account's next password change, not immediately.","Easy - revert the GPO setting; effective at next Group Policy refresh, no data loss.","",""
"Group Policy","GPO Linked to Domain Controllers with Weak Permissions","Critical","synthetic-object-36.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Linked to Domain Controllers with Weak Permissions', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Linked to Domain Controllers with Weak Permissions'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Linked to Domain Controllers with Weak Permissions'.","09/21/2026 20:17:13","T1484.001","vuln1_gpo_dc_weak_perms","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - removing a non-standard Edit/Write right from the GPO object itself; confirm the trustee isn't a legitimate delegated GPO-management account.","Procedural - confirm the trustee isn't a legitimate delegated GPO administrator for that specific GPO before removing their rights.","Easy - restore the GPO permission via GPMC; effective immediately, though the change still needs to replicate to all DCs.","",""
"Group Policy","GPO Grants Sensitive Logon Right to Broad Principal","Critical","synthetic-object-37.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Grants Sensitive Logon Right to Broad Principal', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Grants Sensitive Logon Right to Broad Principal'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Grants Sensitive Logon Right to Broad Principal'.","09/21/2026 20:17:13","T1078","vuln1_gpo_anonymous_logon_right","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - removing a broad principal from a User Rights Assignment in one GPO; confirm no legitimate broad-access scenario (e.g. an intentional kiosk deployment) depends on it.","Removing a broad principal from a sensitive logon right can lock out any system or service that currently relies on that broad grant, so confirm intent before narrowing.","Easy - revert the User Rights Assignment setting in the GPO; effective at next Group Policy refresh, no data loss.","",""
"Group Policy","GPO Deploys Restricted Groups Membership","Critical","synthetic-object-38.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'GPO Deploys Restricted Groups Membership', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'GPO Deploys Restricted Groups Membership'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'GPO Deploys Restricted Groups Membership'.","09/21/2026 20:17:13","T1098.007","vuln1_gpo_restricted_groups","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - editing the Restricted Groups membership list in one GPO; confirm with the owning team which members are actually still needed before removing any.","Removing a member that legitimately needs local admin/RDP/backup rights on the affected computers will revoke that access at the next Group Policy refresh - confirm current legitimate use before narrowing.","Easy - restore the prior Restricted Groups membership list in the GPO; effective at next Group Policy refresh, no data loss.","",""
"Managed Service Accounts","gMSA Password Retrievable by Broad Principal","Critical","synthetic-object-39.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'gMSA Password Retrievable by Broad Principal', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'gMSA Password Retrievable by Broad Principal'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'gMSA Password Retrievable by Broad Principal'.","09/21/2026 20:17:13","T1552.005","vuln1_gmsa_broad_retrieval","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Low - a single-attribute change on the gMSA object; confirm the actual hosting server(s) first so they remain in the narrowed list.","If the narrowed list omits a server that legitimately hosts this service, that server will fail to retrieve the password at its next rotation/lookup and the service will stop authenticating - confirm every real host before narrowing.","Easy - restore the prior PrincipalsAllowedToRetrieveManagedPassword value; takes effect immediately, no data loss.","",""
"Exchange-in-AD Privilege Escalation","Exchange Group Holds WriteDACL on Domain Object","Critical","synthetic-object-40.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Exchange Group Holds WriteDACL on Domain Object', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Exchange Group Holds WriteDACL on Domain Object'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Exchange Group Holds WriteDACL on Domain Object'.","09/21/2026 20:17:13","T1098","vuln1_exchange_domain_writedacl","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - removing this legacy right requires confirming the current Exchange version/CU no longer needs it and coordinating with the Exchange admin team.","Some Exchange functionality - particularly on older CUs that still expect this legacy permission model - can break if the right is removed while an in-place Exchange server still depends on it; confirm current CU-level guidance before removing.","Moderate - export the domain object's ACL before removing the ACE so it can be restored if Exchange functionality is affected; changes follow normal AD replication.","",""
"Attack Paths","Everyone/Authenticated Users on a Control Path to Tier-0","Critical","synthetic-object-41.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Everyone/Authenticated Users on a Control Path to Tier-0', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Everyone/Authenticated Users on a Control Path to Tier-0'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Everyone/Authenticated Users on a Control Path to Tier-0'.","09/21/2026 20:17:13","T1098","vuln1_control_path_broad","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - breaking one specific hop (a group nesting or ACE) in the chain; effort scales with how many hops and objects are involved for a given path.","Removing the identified hop could break a legitimate, if poorly documented, delegation model if the chain was set up intentionally rather than accidentally, so confirm with the object owner before removing.","Moderate - export the specific ACE or group membership being removed so it can be restored, then re-run this audit to confirm the path no longer resolves.","",""
"Certificate Services","Enrollment Agent Template with Low-Privilege Enrollment (ESC3)","Critical","synthetic-object-42.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Enrollment Agent Template with Low-Privilege Enrollment (ESC3)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc3","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - restricting who can enroll for the enrollment-agent template requires confirming which automated on-behalf-of enrollment process currently uses it.","Restricting enrollment agent template access can break an automated on-behalf-of enrollment process that currently relies on the broader access.","Easy - restore the enrollment permission on the template if needed; effective immediately.","",""
"Stale-Object & Hygiene Depth","Domain Controller Registration Inconsistent","Critical","synthetic-object-43.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Domain Controller Registration Inconsistent', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Domain Controller Registration Inconsistent'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Domain Controller Registration Inconsistent'.","09/21/2026 20:17:13","T1207","vuln1_dc_registration_inconsistent","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - typically a single-object correction per affected DC, but requires confirming the DC's intended current state (active, mid-promotion, or decommissioned) before deciding whether to correct or clean up metadata.","Correcting userAccountControl or Configuration-partition registration on a DC that is still mid-promotion/demotion, rather than genuinely stuck, could interfere with that in-progress operation - confirm the DC's actual current state first.","Moderate - record the current attribute values before correcting them; effective on next AD replication cycle.","",""
"Uncategorized (Synthetic)","DC Vulnerable to MS17-010","Critical","synthetic-object-44.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Vulnerable to MS17-010', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Vulnerable to MS17-010'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Vulnerable to MS17-010'.","09/21/2026 20:17:13","T1210","vuln1_ms17010_unpatched","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Vulnerable to MS14-068","Critical","synthetic-object-45.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Vulnerable to MS14-068', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Vulnerable to MS14-068'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Vulnerable to MS14-068'.","09/21/2026 20:17:13","T1558.001","vuln1_ms14068_unpatched","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing ZeroLogon Patch","Critical","synthetic-object-46.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing ZeroLogon Patch', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing ZeroLogon Patch'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing ZeroLogon Patch'.","09/21/2026 20:17:13","T1068","vuln1_zerologon_unpatched","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing CVE-2026-72982 Patch (Netlogon RCE)","Critical","synthetic-object-47.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing CVE-2026-72982 Patch (Netlogon RCE)'.","09/21/2026 20:17:13","T1210","vuln1_netlogon_cve2026_72982_unpatched","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Uncategorized (Synthetic)","DC Missing CVE-2026-41089 Patch (Netlogon RCE)","Critical","synthetic-object-48.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'DC Missing CVE-2026-41089 Patch (Netlogon RCE)'.","09/21/2026 20:17:13","T1210","vuln1_netlogon_cve2026_41089_unpatched","40","4","{""Tier"":""50pct"",""Synthetic"":true}","","","","",""
"Dangerous Permissions","Dangerous Rights on Critical OU","Critical","synthetic-object-49.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Dangerous Rights on Critical OU', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Dangerous Rights on Critical OU'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Dangerous Rights on Critical OU'.","09/21/2026 20:17:13","T1098","vuln1_dangerous_ou_rights","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - a single-object ACE removal, but on a forest-wide replicated object, so it warrants confirming with the relevant application owner (e.g. Exchange, ADFS, or backup/DR tooling that sometimes provisions Configuration-NC rights during setup) before removing, plus a short post-change monitoring window.","Removing the ACE could break a directory-integrated product that legitimately extends the Configuration container (commonly Exchange setup/recipient-update accounts, or certain backup/DR tools) if the trustee is a genuine service account rather than a misconfiguration.","Moderate - export the object's current nTSecurityDescriptor (e.g. via dsacls or Get-Acl on the AD: PowerShell drive) before making the change so the exact ACE can be re-added if needed, and allow for AD replication convergence across all DCs before the removal is fully in effect forest-wide.","Since this ACE sits above the Public Key Services container this tool's own AD CS checks already review separately, cross-check the trustee against any known certificate-services or Exchange install accounts before removing it, to avoid duplicating remediation effort on the wrong object.",""
"Kerberos Security","Cross-Trust TGT Delegation Enabled","Critical","synthetic-object-50.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Cross-Trust TGT Delegation Enabled', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Cross-Trust TGT Delegation Enabled'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Cross-Trust TGT Delegation Enabled'.","09/21/2026 20:17:13","T1558","vuln1_cross_trust_tgt_delegation","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - disabling this trust attribute requires confirming no legitimate application performs Kerberos delegation across that trust boundary (e.g. a multi-forest SharePoint/SQL double-hop scenario).","Disabling cross-trust TGT delegation can break any application that legitimately performs Kerberos delegation across that trust boundary.","Moderate - trust attributes can be reconfigured back via netdom/PowerShell, but requires coordination with the other domain/forest's admins to re-verify, like any other trust property change.","",""
"Kerberos Delegation","Computer Account with Unconstrained Delegation","Critical","synthetic-object-51.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Computer Account with Unconstrained Delegation', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Computer Account with Unconstrained Delegation'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Computer Account with Unconstrained Delegation'.","09/21/2026 20:17:13","T1558","vuln1_unconstrained_delegation_computer","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - requires discovering what the host actually delegates to and reconfiguring it with an equivalent constrained/RBCD replacement before disabling the flag, not just flipping it off.","Unconstrained delegation is one of the most consequential AD misconfigurations; disabling it without configuring an equivalent constrained/RBCD replacement first will break whatever legitimate multi-hop authentication currently depends on it.","Easy - revert the TRUSTED_FOR_DELEGATION flag; effective at next Kerberos ticket request, no data loss.","",""
"Certificate Services","Certificate Template with No EKU Restrictions (ESC2)","Critical","synthetic-object-52.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template with No EKU Restrictions (ESC2)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template with No EKU Restrictions (ESC2)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template with No EKU Restrictions (ESC2)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc2","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - requires validating which application relies on the current broad EKU set (e.g. a cert used for both client authentication and code signing) before narrowing it.","Restricting EKUs can break legitimate uses that rely on the current broad EKU set.","Moderate - restore the template's prior EKU configuration (via a template export/backup, e.g. PSPKI or certutil) if a legitimate use breaks; certificates already issued remain valid until revoked or expired.","",""
"Certificate Services","Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)","Critical","synthetic-object-53.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Vulnerable to Schema V1 EKU Injection (ESC15)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc15","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - duplicating a template as Schema V2+ and re-pointing enrollment is a routine AD CS operation, but requires confirming which systems currently enroll against the V1 original before retiring it.","Retiring a Schema V1 template can break legacy clients or workflows (e.g. very old Windows Server versions, or agents predating Schema V2 support) that specifically enroll against a V1 template - confirm no legitimate dependency before retiring rather than duplicating.","Easy - the original Schema V1 template is unaffected by publishing a new V2+ duplicate alongside it; only retiring/unpublishing the V1 original needs to be reversible (re-publish it) if an unexpected dependency surfaces.","",""
"Certificate Services","Certificate Template Issuance Policy Linked to Privileged Group (ESC13)","Critical","synthetic-object-54.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Issuance Policy Linked to Privileged Group (ESC13)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc13","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - confirm whether the OID-to-group link is an intentional AD FS claims scenario before removing it, since removing it changes real, currently-working claims-based access for legitimate users too.","Removing the group link breaks any legitimate AD FS claims-based access that currently depends on it - confirm the link is unintentional/unused before removing.","Easy - restore the msDS-OIDToGroupLink value on the OID object if needed; effective immediately.","",""
"Certificate Services","Certificate Template Allows Subject Alternative Name (ESC1)","Critical","synthetic-object-55.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Allows Subject Alternative Name (ESC1)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Allows Subject Alternative Name (ESC1)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Allows Subject Alternative Name (ESC1)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc1","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - requires disabling ""supply subject in request"" or restricting enrollment rights, and confirming which systems currently request from this template before changing it.","Disabling attacker-controllable SAN (CT_FLAG_ENROLLEE_SUPPLIES_SUBJECT) can break legitimate workflows that rely on supplying a SAN at request time, such as some non-Windows or automated enrollment clients.","Moderate - AD CS templates are versioned, so a prior version's settings can be restored and republished; however, any certificates already issued during the vulnerable window remain valid until revoked or expired, so this isn't a full rollback of the exposure itself.","",""
"Certificate Services","Certificate Template Allows Arbitrary Server Certificate (ESC17)","Critical","synthetic-object-56.fabrikam.local","[SYNTHETIC TEST DATA] Placeholder finding for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)', generated to exercise report rendering - not a real detection result against 'fabrikam.local' or any other domain.","[SYNTHETIC TEST DATA] Placeholder impact text for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)'. See src/Scoring.ps1 and the corresponding src/*.ps1 check for this Issue's real Impact wording.","[SYNTHETIC TEST DATA] Placeholder remediation text for 'Certificate Template Allows Arbitrary Server Certificate (ESC17)'.","09/21/2026 20:17:13","T1649","vuln1_adcs_esc17","40","4","{""Tier"":""50pct"",""Synthetic"":true}","Medium - same considerations as ESC1: confirm which systems currently request server certificates from this template before narrowing SAN supply or enrollment rights.","Restricting enrollee-supplied SAN or enrollment rights can break legitimate automated server-certificate provisioning that currently relies on this template's current configuration.","Moderate - AD CS templates are versioned, so a prior version's settings can be restored and republished; certificates already issued during the vulnerable window remain valid until revoked or expired.","",""
